GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Intelligent-Consultstion-Platform,com.backend.service.impl,UsersServiceImpl,105,409,18,34,25,104,18,13,0,5
Intelligent-Consultstion-Platform,com.backend.service.impl,AppointmentsServiceImpl,1026,320,85,31,219,82,70,10,17,5
Intelligent-Consultstion-Platform,com.backend.service.impl,PatientAccountServiceImpl,602,326,52,24,117,75,43,13,10,8
Intelligent-Consultstion-Platform,com.backend.service.impl,SchedulesServiceImpl,297,6,32,0,80,2,23,1,7,1
Intelligent-Consultstion-Platform,com.backend.service.impl,DoctorsServiceImpl,390,6,40,0,107,2,27,1,7,1
Intelligent-Consultstion-Platform,com.backend.service.impl,ConsultationsServiceImpl,768,3,68,0,173,1,45,1,11,1
Intelligent-Consultstion-Platform,com.backend.service.impl,HospitalizationsServiceImpl,671,3,62,0,138,1,43,1,12,1
Intelligent-Consultstion-Platform,com.backend.service.impl,DepartmentsServiceImpl,38,3,0,0,8,1,5,1,5,1
Intelligent-Consultstion-Platform,com.backend.service.impl,NoticesServiceImpl,59,3,0,0,15,1,5,1,5,1
Intelligent-Consultstion-Platform,com.backend.config.jackson,TimeRangeDeserializer,3,0,0,0,1,0,1,0,1,0
Intelligent-Consultstion-Platform,com.backend.config.jackson,TimeRangeDeserializer.TimeFromTimeRange,49,10,8,0,14,3,5,2,1,2
Intelligent-Consultstion-Platform,com.backend.config.jackson,TimeRangeDeserializer.DateFromTimeRange,49,10,8,0,14,3,5,2,1,2
Intelligent-Consultstion-Platform,com.backend.config,WebMvcConfig,0,51,0,0,0,5,0,2,0,2
Intelligent-Consultstion-Platform,com.backend.config,CorsConfig,0,83,0,0,0,14,0,3,0,3
Intelligent-Consultstion-Platform,com.backend.exception,GlobalExceptionHandler,67,25,10,0,17,6,7,4,2,4
Intelligent-Consultstion-Platform,com.backend.exception,BusinessException,7,17,0,0,3,6,1,2,1,2
Intelligent-Consultstion-Platform,com.backend.exception,ErrorCode,0,110,0,0,0,17,0,2,0,2
Intelligent-Consultstion-Platform,com.backend.exception,ThrowUtils,23,0,2,0,8,0,5,0,4,0
Intelligent-Consultstion-Platform,com.backend.utils,JwtUtils,13,127,2,4,3,31,2,13,0,12
Intelligent-Consultstion-Platform,com.backend.utils,PasswordUtils,3,9,0,0,1,2,1,2,1,2
Intelligent-Consultstion-Platform,com.backend.common,UserContext,6,46,3,3,1,12,4,7,1,7
Intelligent-Consultstion-Platform,com.backend.common,UserContext.UserInfo,15,21,0,0,7,8,4,4,4,4
Intelligent-Consultstion-Platform,com.backend.common,ResultUtils,15,22,0,0,3,3,3,3,3,3
Intelligent-Consultstion-Platform,com.backend.common,BaseResponse,14,12,0,0,4,5,2,1,2,1
Intelligent-Consultstion-Platform,com.backend,IntelligentConsultstionPlatformApplication,5,3,0,0,2,1,1,1,1,1
Intelligent-Consultstion-Platform,com.backend.generator,MyBatisCodeGenerator,105,0,0,0,33,0,4,0,4,0
Intelligent-Consultstion-Platform,com.backend.interceptor,TokenInterceptor,0,118,1,7,0,35,1,8,0,5
Intelligent-Consultstion-Platform,com.backend.service,AiConsultationService,142,850,44,48,25,222,41,19,0,14
Intelligent-Consultstion-Platform,com.backend.service,DeepSeekService,187,344,43,5,40,79,22,9,0,7
Intelligent-Consultstion-Platform,com.backend.controller,SchedulesController,45,3,0,0,10,1,5,1,5,1
Intelligent-Consultstion-Platform,com.backend.controller,AppointmentsController,95,3,0,0,22,1,9,1,9,1
Intelligent-Consultstion-Platform,com.backend.controller,DepartmentsController,42,3,0,0,10,1,5,1,5,1
Intelligent-Consultstion-Platform,com.backend.controller,PatientAccountController.PaymentRequest,24,0,0,0,7,0,7,0,7,0
Intelligent-Consultstion-Platform,com.backend.controller,AuthController,500,56,64,0,124,11,34,3,2,3
Intelligent-Consultstion-Platform,com.backend.controller,ConsultationsController,109,3,6,0,24,1,9,1,6,1
Intelligent-Consultstion-Platform,com.backend.controller,DoctorsController,44,3,0,0,10,1,5,1,5,1
Intelligent-Consultstion-Platform,com.backend.controller,NoticesController,42,3,0,0,10,1,5,1,5,1
Intelligent-Consultstion-Platform,com.backend.controller,PatientAccountController.RechargeRequest,17,0,0,0,5,0,5,0,5,0
Intelligent-Consultstion-Platform,com.backend.controller,PatientAccountController,158,3,4,0,38,1,8,1,6,1
Intelligent-Consultstion-Platform,com.backend.controller,HospitalizationsController,60,3,0,0,13,1,5,1,5,1
Intelligent-Consultstion-Platform,com.backend.controller,AiConsultationController,31,202,1,3,10,36,1,12,0,11
Intelligent-Consultstion-Platform,com.backend.controller,UsersController,99,3,4,0,19,1,9,1,7,1
